# n_glb= 10000 vel_ave= 0.05 dens= 10000 sigma= 0.002 t_coll= 1 t_end= 12 t_recover= 3 dt= 0.002
|time_sys = 0 |n_infected = 100
|time_sys = 0.356 |n_infected = 146 |n_removed = 0 |other = 9854 |
|time_sys = 0.358 |n_infected = 147 |n_removed = 0 |other = 9853 |
|time_sys = 0.36 |n_infected = 149 |n_removed = 0 |other = 9851 |
|time_sys = 0.362 |n_infected = 149 |n_removed = 0 |other = 9851 |
|time_sys = 0.364 |n_infected = 150 |n_removed = 0 |other = 9850 |
|time_sys = 0.366 |n_infected = 150 |n_removed = 0 |other = 9850 |
|time_sys = 0.368 |n_infected = 151 |n_removed = 0 |other = 9849 |
|time_sys = 0.37 |n_infected = 151 |n_removed = 0 |other = 9849 |
|time_sys = 0.372 |n_infected = 151 |n_removed = 0 |other = 9849 |
|time_sys = 0.374 |n_infected = 151 |n_removed = 0 |other = 9849 |
|time_sys = 0.376 |n_infected = 151 |n_removed = 0 |other = 9849 |
|time_sys = 0.378 |n_infected = 151 |n_removed = 0 |other = 9849 |
|time_sys = 0.38 |n_infected = 151 |n_removed = 0 |other = 9849 |
|time_sys = 0.382 |n_infected = 151 |n_removed = 0 |other = 9849 |
|time_sys = 0.384 |n_infected = 151 |n_removed = 0 |other = 9849 |
|time_sys = 0.386 |n_infected = 151 |n_removed = 0 |other = 9849 |
|time_sys = 0.388 |n_infected = 151 |n_removed = 0 |other = 9849 |
|time_sys = 0.39 |n_infected = 151 |n_removed = 0 |other = 9849 |
|time_sys = 0.392 |n_infected = 151 |n_removed = 0 |other = 9849 |
|time_sys = 0.394 |n_infected = 151 |n_removed = 0 |other = 9849 |
|time_sys = 0.396 |n_infected = 152 |n_removed = 0 |other = 9848 |
|time_sys = 0.398 |n_infected = 153 |n_removed = 0 |other = 9847 |
|time_sys = 0.4 |n_infected = 153 |n_removed = 0 |other = 9847 |
|time_sys = 0.402 |n_infected = 153 |n_removed = 0 |other = 9847 |
|time_sys = 0.404 |n_infected = 153 |n_removed = 0 |other = 9847 |
|time_sys = 0.406 |n_infected = 153 |n_removed = 0 |other = 9847 |
|time_sys = 0.408 |n_infected = 153 |n_removed = 0 |other = 9847 |
|time_sys = 0.41 |n_infected = 153 |n_removed = 0 |other = 9847 |
|time_sys = 0.412 |n_infected = 153 |n_removed = 0 |other = 9847 |
|time_sys = 0.414 |n_infected = 153 |n_removed = 0 |other = 9847 |
|time_sys = 0.416 |n_infected = 153 |n_removed = 0 |other = 9847 |
|time_sys = 0.418 |n_infected = 154 |n_removed = 0 |other = 9846 |
|time_sys = 0.42 |n_infected = 155 |n_removed = 0 |other = 9845 |
|time_sys = 0.422 |n_infected = 155 |n_removed = 0 |other = 9845 |
|time_sys = 0.424 |n_infected = 155 |n_removed = 0 |other = 9845 |
|time_sys = 0.426 |n_infected = 156 |n_removed = 0 |other = 9844 |
|time_sys = 0.428 |n_infected = 156 |n_removed = 0 |other = 9844 |
|time_sys = 0.43 |n_infected = 156 |n_removed = 0 |other = 9844 |
|time_sys = 0.432 |n_infected = 156 |n_removed = 0 |other = 9844 |
|time_sys = 0.434 |n_infected = 157 |n_removed = 0 |other = 9843 |
|time_sys = 0.436 |n_infected = 157 |n_removed = 0 |other = 9843 |
|time_sys = 0.438 |n_infected = 157 |n_removed = 0 |other = 9843 |
|time_sys = 0.44 |n_infected = 157 |n_removed = 0 |other = 9843 |
|time_sys = 0.442 |n_infected = 157 |n_removed = 0 |other = 9843 |
|time_sys = 0.444 |n_infected = 157 |n_removed = 0 |other = 9843 |
|time_sys = 0.446 |n_infected = 158 |n_removed = 0 |other = 9842 |
|time_sys = 0.448 |n_infected = 158 |n_removed = 0 |other = 9842 |
|time_sys = 0.45 |n_infected = 159 |n_removed = 0 |other = 9841 |
|time_sys = 0.452 |n_infected = 159 |n_removed = 0 |other = 9841 |
|time_sys = 0.454 |n_infected = 159 |n_removed = 0 |other = 9841 |
|time_sys = 0.456 |n_infected = 159 |n_removed = 0 |other = 9841 |
|time_sys = 0.458 |n_infected = 159 |n_removed = 0 |other = 9841 |
|time_sys = 0.46 |n_infected = 160 |n_removed = 0 |other = 9840 |
|time_sys = 0.462 |n_infected = 160 |n_removed = 0 |other = 9840 |
|time_sys = 0.464 |n_infected = 161 |n_removed = 0 |other = 9839 |
|time_sys = 0.466 |n_infected = 161 |n_removed = 0 |other = 9839 |
|time_sys = 0.468 |n_infected = 162 |n_removed = 0 |other = 9838 |
|time_sys = 0.47 |n_infected = 162 |n_removed = 0 |other = 9838 |
|time_sys = 0.472 |n_infected = 162 |n_removed = 0 |other = 9838 |
|time_sys = 0.474 |n_infected = 163 |n_removed = 0 |other = 9837 |
|time_sys = 0.476 |n_infected = 164 |n_removed = 0 |other = 9836 |
|time_sys = 0.478 |n_infected = 164 |n_removed = 0 |other = 9836 |
|time_sys = 0.48 |n_infected = 166 |n_removed = 0 |other = 9834 |
|time_sys = 0.482 |n_infected = 166 |n_removed = 0 |other = 9834 |
|time_sys = 0.484 |n_infected = 166 |n_removed = 0 |other = 9834 |
|time_sys = 0.486 |n_infected = 167 |n_removed = 0 |other = 9833 |
|time_sys = 0.488 |n_infected = 167 |n_removed = 0 |other = 9833 |
|time_sys = 0.49 |n_infected = 167 |n_removed = 0 |other = 9833 |
|time_sys = 0.492 |n_infected = 167 |n_removed = 0 |other = 9833 |
|time_sys = 0.494 |n_infected = 167 |n_removed = 0 |other = 9833 |
|time_sys = 0.496 |n_infected = 167 |n_removed = 0 |other = 9833 |
|time_sys = 0.498 |n_infected = 167 |n_removed = 0 |other = 9833 |
|time_sys = 0.5 |n_infected = 167 |n_removed = 0 |other = 9833 |
|time_sys = 0.502 |n_infected = 167 |n_removed = 0 |other = 9833 |
|time_sys = 0.504 |n_infected = 167 |n_removed = 0 |other = 9833 |
|time_sys = 0.506 |n_infected = 167 |n_removed = 0 |other = 9833 |
|time_sys = 0.508 |n_infected = 168 |n_removed = 0 |other = 9832 |
|time_sys = 0.51 |n_infected = 168 |n_removed = 0 |other = 9832 |
|time_sys = 0.512 |n_infected = 168 |n_removed = 0 |other = 9832 |
|time_sys = 0.514 |n_infected = 169 |n_removed = 0 |other = 9831 |
|time_sys = 0.516 |n_infected = 169 |n_removed = 0 |other = 9831 |
|time_sys = 0.518 |n_infected = 170 |n_removed = 0 |other = 9830 |
|time_sys = 0.52 |n_infected = 170 |n_removed = 0 |other = 9830 |
|time_sys = 0.522 |n_infected = 171 |n_removed = 0 |other = 9829 |
|time_sys = 0.524 |n_infected = 172 |n_removed = 0 |other = 9828 |
|time_sys = 0.526 |n_infected = 172 |n_removed = 0 |other = 9828 |
|time_sys = 0.528 |n_infected = 172 |n_removed = 0 |other = 9828 |
|time_sys = 0.53 |n_infected = 173 |n_removed = 0 |other = 9827 |
|time_sys = 0.532 |n_infected = 173 |n_removed = 0 |other = 9827 |
|time_sys = 0.534 |n_infected = 173 |n_removed = 0 |other = 9827 |
|time_sys = 0.536 |n_infected = 174 |n_removed = 0 |other = 9826 |
|time_sys = 0.538 |n_infected = 176 |n_removed = 0 |other = 9824 |
|time_sys = 0.54 |n_infected = 176 |n_removed = 0 |other = 9824 |
|time_sys = 0.542 |n_infected = 176 |n_removed = 0 |other = 9824 |
|time_sys = 0.544 |n_infected = 177 |n_removed = 0 |other = 9823 |
|time_sys = 0.546 |n_infected = 177 |n_removed = 0 |other = 9823 |
|time_sys = 0.548 |n_infected = 177 |n_removed = 0 |other = 9823 |
|time_sys = 0.55 |n_infected = 177 |n_removed = 0 |other = 9823 |
|time_sys = 0.552 |n_infected = 179 |n_removed = 0 |other = 9821 |
|time_sys = 0.554 |n_infected = 179 |n_removed = 0 |other = 9821 |
|time_sys = 0.556 |n_infected = 179 |n_removed = 0 |other = 9821 |
|time_sys = 0.558 |n_infected = 179 |n_removed = 0 |other = 9821 |
|time_sys = 0.56 |n_infected = 179 |n_removed = 0 |other = 9821 |
|time_sys = 0.562 |n_infected = 180 |n_removed = 0 |other = 9820 |
|time_sys = 0.564 |n_infected = 180 |n_removed = 0 |other = 9820 |
|time_sys = 0.566 |n_infected = 181 |n_removed = 0 |other = 9819 |
|time_sys = 0.568 |n_infected = 181 |n_removed = 0 |other = 9819 |
|time_sys = 0.57 |n_infected = 181 |n_removed = 0 |other = 9819 |
|time_sys = 0.572 |n_infected = 181 |n_removed = 0 |other = 9819 |
|time_sys = 0.574 |n_infected = 181 |n_removed = 0 |other = 9819 |
|time_sys = 0.576 |n_infected = 181 |n_removed = 0 |other = 9819 |
|time_sys = 0.578 |n_infected = 181 |n_removed = 0 |other = 9819 |
|time_sys = 0.58 |n_infected = 181 |n_removed = 0 |other = 9819 |
|time_sys = 0.582 |n_infected = 181 |n_removed = 0 |other = 9819 |
|time_sys = 0.584 |n_infected = 182 |n_removed = 0 |other = 9818 |
|time_sys = 0.586 |n_infected = 183 |n_removed = 0 |other = 9817 |
|time_sys = 0.588 |n_infected = 183 |n_removed = 0 |other = 9817 |
|time_sys = 0.59 |n_infected = 183 |n_removed = 0 |other = 9817 |
|time_sys = 0.592 |n_infected = 183 |n_removed = 0 |other = 9817 |
|time_sys = 0.594 |n_infected = 183 |n_removed = 0 |other = 9817 |
|time_sys = 0.596 |n_infected = 183 |n_removed = 0 |other = 9817 |
|time_sys = 0.598 |n_infected = 185 |n_removed = 0 |other = 9815 |
|time_sys = 0.6 |n_infected = 185 |n_removed = 0 |other = 9815 |
|time_sys = 0.602 |n_infected = 185 |n_removed = 0 |other = 9815 |
|time_sys = 0.604 |n_infected = 185 |n_removed = 0 |other = 9815 |
|time_sys = 0.606 |n_infected = 185 |n_removed = 0 |other = 9815 |
|time_sys = 0.608 |n_infected = 185 |n_removed = 0 |other = 9815 |
|time_sys = 0.61 |n_infected = 186 |n_removed = 0 |other = 9814 |
|time_sys = 0.612 |n_infected = 186 |n_removed = 0 |other = 9814 |
|time_sys = 0.614 |n_infected = 186 |n_removed = 0 |other = 9814 |
|time_sys = 0.616 |n_infected = 186 |n_removed = 0 |other = 9814 |
|time_sys = 0.618 |n_infected = 186 |n_removed = 0 |other = 9814 |
|time_sys = 0.62 |n_infected = 187 |n_removed = 0 |other = 9813 |
|time_sys = 0.622 |n_infected = 187 |n_removed = 0 |other = 9813 |
|time_sys = 0.624 |n_infected = 187 |n_removed = 0 |other = 9813 |
|time_sys = 0.626 |n_infected = 187 |n_removed = 0 |other = 9813 |
|time_sys = 0.628 |n_infected = 187 |n_removed = 0 |other = 9813 |
|time_sys = 0.63 |n_infected = 187 |n_removed = 0 |other = 9813 |
|time_sys = 0.632 |n_infected = 187 |n_removed = 0 |other = 9813 |
|time_sys = 0.634 |n_infected = 187 |n_removed = 0 |other = 9813 |
|time_sys = 0.636 |n_infected = 187 |n_removed = 0 |other = 9813 |
|time_sys = 0.638 |n_infected = 187 |n_removed = 0 |other = 9813 |
|time_sys = 0.64 |n_infected = 189 |n_removed = 0 |other = 9811 |
|time_sys = 0.642 |n_infected = 189 |n_removed = 0 |other = 9811 |
|time_sys = 0.644 |n_infected = 191 |n_removed = 0 |other = 9809 |
|time_sys = 0.646 |n_infected = 192 |n_removed = 0 |other = 9808 |
|time_sys = 0.648 |n_infected = 192 |n_removed = 0 |other = 9808 |
|time_sys = 0.65 |n_infected = 192 |n_removed = 0 |other = 9808 |
|time_sys = 0.652 |n_infected = 193 |n_removed = 0 |other = 9807 |
|time_sys = 0.654 |n_infected = 194 |n_removed = 0 |other = 9806 |
|time_sys = 0.656 |n_infected = 194 |n_removed = 0 |other = 9806 |
|time_sys = 0.658 |n_infected = 194 |n_removed = 0 |other = 9806 |
|time_sys = 0.66 |n_infected = 194 |n_removed = 0 |other = 9806 |
|time_sys = 0.662 |n_infected = 194 |n_removed = 0 |other = 9806 |
|time_sys = 0.664 |n_infected = 194 |n_removed = 0 |other = 9806 |
|time_sys = 0.666 |n_infected = 194 |n_removed = 0 |other = 9806 |
|time_sys = 0.668 |n_infected = 194 |n_removed = 0 |other = 9806 |
|time_sys = 0.67 |n_infected = 195 |n_removed = 0 |other = 9805 |
|time_sys = 0.672 |n_infected = 195 |n_removed = 0 |other = 9805 |
|time_sys = 0.674 |n_infected = 196 |n_removed = 0 |other = 9804 |
|time_sys = 0.676 |n_infected = 196 |n_removed = 0 |other = 9804 |
|time_sys = 0.678 |n_infected = 197 |n_removed = 0 |other = 9803 |
|time_sys = 0.68 |n_infected = 197 |n_removed = 0 |other = 9803 |
|time_sys = 0.682 |n_infected = 197 |n_removed = 0 |other = 9803 |
|time_sys = 0.684 |n_infected = 198 |n_removed = 0 |other = 9802 |
|time_sys = 0.686 |n_infected = 198 |n_removed = 0 |other = 9802 |
|time_sys = 0.688000000000001 |n_infected = 198 |n_removed = 0 |other = 9802 |
|time_sys = 0.690000000000001 |n_infected = 198 |n_removed = 0 |other = 9802 |
|time_sys = 0.692000000000001 |n_infected = 199 |n_removed = 0 |other = 9801 |
|time_sys = 0.694000000000001 |n_infected = 199 |n_removed = 0 |other = 9801 |
|time_sys = 0.696000000000001 |n_infected = 199 |n_removed = 0 |other = 9801 |
|time_sys = 0.698000000000001 |n_infected = 200 |n_removed = 0 |other = 9800 |
|time_sys = 0.700000000000001 |n_infected = 200 |n_removed = 0 |other = 9800 |
|time_sys = 0.702000000000001 |n_infected = 200 |n_removed = 0 |other = 9800 |
|time_sys = 0.704000000000001 |n_infected = 200 |n_removed = 0 |other = 9800 |
|time_sys = 0.706000000000001 |n_infected = 201 |n_removed = 0 |other = 9799 |
|time_sys = 0.708000000000001 |n_infected = 201 |n_removed = 0 |other = 9799 |
|time_sys = 0.710000000000001 |n_infected = 201 |n_removed = 0 |other = 9799 |
|time_sys = 0.712000000000001 |n_infected = 201 |n_removed = 0 |other = 9799 |
